file,duration_sec,rms_time,loudness_rms_norm,f0_time,pitch_hz,AvgLoudness_100,Loudness_CV,MedianPitch_Hz
Complete_Arrangement.wav,20.0,0.0,0.021558688953518867,0.0,61.95095443725586,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.012000000104308128,0.02172502502799034,0.012000000104308128,61.94511032104492,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.02800000086426735,0.021816208958625793,0.02800000086426735,61.952789306640625,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.03999999910593033,0.02186254970729351,0.03999999910593033,61.96396255493164,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.0560000017285347,0.021918127313256264,0.0560000017285347,61.9491081237793,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.06800000369548798,0.019873501732945442,0.06800000369548798,60.41938018798828,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.08399999886751175,0.010815010406076908,0.08399999886751175,55.19625473022461,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.10000000149011612,0.03492744639515877,0.10000000149011612,70.49628448486328,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.1120000034570694,0.062115903943777084,0.1120000034570694,250.19583129882812,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.12800000607967377,0.06958045065402985,0.12800000607967377,247.43699645996094,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.14000000059604645,0.07112880051136017,0.14000000059604645,247.28746032714844,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.15600000321865082,0.07214052230119705,0.15600000321865082,247.22509765625,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.1679999977350235,0.07271643728017807,0.1679999977350235,247.23402404785156,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.18400000035762787,0.0732308179140091,0.18400000035762787,247.178466796875,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.20000000298023224,0.0734785795211792,0.20000000298023224,247.1774444580078,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.21199999749660492,0.07352787256240845,0.21199999749660492,247.17694091796875,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.2280000001192093,0.06532126665115356,0.2280000001192093,108.89904022216797,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.23999999463558197,0.04028445854783058,0.23999999463558197,235.04141235351562,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.25600001215934753,0.025277813896536827,0.25600001215934753,54.40547180175781,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.2680000066757202,0.02057267352938652,0.2680000066757202,44.63581848144531,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.2840000092983246,0.0168704055249691,0.2840000092983246,44.091121673583984,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.30000001192092896,0.013476775959134102,0.30000001192092896,164.96759033203125,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.31200000643730164,0.0115588940680027,0.31200000643730164,103.27339172363281,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.328000009059906,0.011149103753268719,0.328000009059906,164.96905517578125,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.3400000035762787,0.011954287998378277,0.3400000035762787,165.13330078125,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.35600000619888306,0.012019570916891098,0.35600000619888306,165.10125732421875,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.36800000071525574,0.011666460894048214,0.36800000071525574,165.10665893554688,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.3840000033378601,0.011271854862570763,0.3840000033378601,332.0969543457031,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.4000000059604645,0.010953675955533981,0.4000000059604645,332.1634521484375,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.41200000047683716,0.010777667164802551,0.41200000047683716,332.1056823730469,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.42800000309944153,0.010533332824707031,0.42800000309944153,332.1619567871094,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.4399999976158142,0.010387791320681572,0.4399999976158142,42.54438400268555,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.4560000002384186,0.008809458464384079,0.4560000002384186,75.46935272216797,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.46799999475479126,0.006742656230926514,0.46799999475479126,332.3593444824219,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.48399999737739563,0.005278128199279308,0.48399999737739563,118.44776153564453,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5,0.004883660934865475,0.5,118.45140838623047,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5120000243186951,0.0046429624781012535,0.5120000243186951,118.44649505615234,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.527999997138977,0.004288980737328529,0.527999997138977,118.44209289550781,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5400000214576721,0.004237846005707979,0.5400000214576721,253.78346252441406,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5559999942779541,0.10601247102022171,0.5559999942779541,116.04534149169922,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5680000185966492,0.11255057156085968,0.5680000185966492,105.59927368164062,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.5839999914169312,0.1138356626033783,0.5839999914169312,106.15373992919922,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.6000000238418579,0.11566530913114548,0.6000000238418579,105.97383117675781,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.6119999885559082,0.11656911671161652,0.6119999885559082,106.03589630126953,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.628000020980835,0.11714546382427216,0.628000020980835,105.94481658935547,53.84712815284729,0.49375501505471137,58.4136962890625
Complete_Arrangement.wav,20.0,0.6399999856948853,0.11726895719766617,0.6399999856948853,105.91304779052734,53.84712815284729,0.49375501505471137,58.4136962890625
